Shape,nsites,elements,nelements,composition,composition_reduced,formula_pretty,formula_anonymous,chemsys,volume,density,density_atomic,symmetry,material_id,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,grain_boundaries,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,types_of_magnetic_species,k_vrh,g_vrh,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed,possible_species,theoretical
Cubic,5,"[Element Cu, Element N, Element Ni]",3,Cu1 Ni3 N1,Cu1 Ni3 N1,CuNi3N,ABC3,Cu-N-Ni,50.7404251421085,8.300429841600447,10.1480850284217,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1017556,-5.965201716,-6.037401716,-0.0821793889999995,0.0,True,,0.0,,,7.36332091,False,True,True,FM,1.0067557,0.019841294139345177,1.0067557,3,1,[Element Ni],196.36542590944907,65.78010655441754,,,,,,,,,,,,[],True
Cubic,5,"[Element Al, Element C, Element Ce]",3,Ce3 Al1 C1,Ce3 Al1 C1,Ce3AlC,ABC3,Al-C-Ce,124.05038839781575,6.148730535293477,24.81007767956315,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-10036,-6.38450763,-6.38450763,-0.22980587250000042,0.0,True,,0.0,,,7.12661914,False,True,True,FM,2.5469901,0.020531899439380125,2.5469901,3,1,[Element Ce],,,,,,,,,,,,,,[],False
Cubic,5,"[Element N, Element Ni, Element Zn]",3,Zn1 Ni3 N1,Zn1 Ni3 N1,ZnNi3N,ABC3,N-Ni-Zn,51.77056123443007,8.195022676786662,10.354112246886015,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1069270,-5.536031692,-5.608231692,-0.22090197699999975,0.0,True,,0.0,,,6.68338461,False,True,False,NM,3.5e-06,6.760598912866954e-08,3.5e-06,0,0,[],,,,,,,,,,,,,,[],True
Cubic,5,"[Element Mo, Element Na, Element O]",3,Na1 Mo1 O3,Na1 Mo1 O3,NaMoO3,ABC3,Mo-Na-O,61.57755902520197,4.501484285601487,12.315511805040394,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1040471,-6.368571806,-7.421171805999999,-2.019523498560345,0.09633984900000048,False,,0.0,,,3.7837783,False,True,True,FM,1.0003638,0.016245590371495224,1.0003638,1,1,[Element Mo],,,,,,,,,,,,,,"['Na+', 'Mo5+', 'O2-']",True
Cubic,5,"[Element Ca, Element O, Element V]",3,Ca1 V1 O3,Ca1 V1 O3,CaVO3,ABC3,Ca-O-V,56.19975561423256,4.107568071709151,11.239951122846511,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1016853,-7.265746754,-8.017946754,-2.8320323372500007,0.10623166291071406,False,,0.0,,,5.05378626,False,True,True,FM,0.9968925,0.017738377847101125,0.9968925,1,1,[Element V],,,,,,,,,,,,,,"['Ca2+', 'O2-', 'V4+']",True
Cubic,40,"[Element Ca, Element Mg, Element Mn, Element O]",4,Ca7 Mg1 Mn8 O24,Ca7 Mg1 Mn8 O24,Ca7MgMn8O24,AB7C8D24,Ca-Mg-Mn-O,435.56467429138263,4.3016671349052436,10.889116857284566,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1076485,-6.797865885749999,-7.543665885749999,-2.3522626203362065,0.17162810121180616,False,,0.0,,,3.40865349,False,True,True,FM,24.3631244,0.05593457375678184,24.3631244,8,1,[Element Mn],,,,,,,,,,,,,,"['Ca2+', 'Mg2+', 'O2-', 'Mn4+']",True
Cubic,20,"[Element Fe, Element O, Element Os, Element Sr]",4,Sr4 Fe2 Os2 O12,Sr2 Fe1 Os1 O6,Sr2FeOsO6,ABC2D6,Fe-O-Os-Sr,252.31619980947602,6.8090419080992985,12.615809990473801,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='4/mmm' symprec=0.1 version='1.16.2',mp-1095170,-6.9713132725,-7.609113272499999,-2.3334624910833326,0.0,True,,0.0,,,4.3075657,False,True,True,AFM,0.0,0.0,0.0,4,2,"[Element Fe, Element Os]",,,,,,,,,,,,,,"['O2-', 'Sr2+', 'Fe3+', 'Os5+']",False
Cubic,10,"[Element Mn, Element O, Element Pb, Element Re]",4,Mn1 Re1 Pb2 O6,Mn1 Re1 Pb2 O6,MnRe(PbO3)2,ABC2D6,Mn-O-Pb-Re,135.88578412860778,9.183918226577635,13.588578412860778,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1084762,-7.093523508,-7.672523508,-1.8013266195431044,0.054393025812501605,False,,0.17579999999999973,6.2296,6.0538,6.17605927,False,False,True,FiM,3.9893583,0.02935817256810551,3.9893583,2,2,"[Element Mn, Element Re]",,,,,,,,,,,,,,"['Mn2+', 'Re6+', 'Pb2+', 'O2-']",False
Cubic,5,"[Element Bi, Element Sb, Element Sr]",3,Sr3 Bi1 Sb1,Sr3 Bi1 Sb1,Sr3BiSb,ABC3,Bi-Sb-Sr,240.27839885840416,4.102310731353994,48.05567977168083,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1013706,-3.100534002,-3.138934002,-0.5313398559999996,0.4579950169999938,False,,0.0,,,2.14109052,False,True,False,NM,0.0006003,2.4983519236523474e-06,0.0006003,0,0,[],,,,,,,,,,,,,,"['Sb3-', 'Sr2+', 'Bi3-']",True
Cubic,5,"[Element Al, Element C, Element Ce]",3,Ce3 Al1 C1,Ce3 Al1 C1,Ce3AlC,ABC3,Al-C-Ce,124.05038839781575,6.148730535293477,24.81007767956315,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-10036,-6.38450763,-6.38450763,-0.22980587250000042,0.0,True,,0.0,,,7.12661914,False,True,True,FM,2.5469901,0.020531899439380125,2.5469901,3,1,[Element Ce],,,,,,,,,,,,,,[],False
