Shape,formula_pretty,formula_anonymous,volume,density,density_atomic,energy_per_atom,band_gap,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,theoretical
0,AlPbO3,ABC3,56.3792677148114,8.311042316450266,11.27585354296228,-6.651739886,0.0,6.45797942,0,1,0,0,0.0325802,1
2,Ba2CoMoO6,ABC2D6,277.16717209981965,6.296939520696896,13.858358604990984,-7.604548041000001,1.274,3.06245207,1,0,1,2,2.1e-06,1
0,Ba2CoMoO6,ABC2D6,276.7660678753778,6.306065383062162,13.838303393768893,-7.613763792,0.0,3.72736372,0,1,1,2,0.0109821,0
4,Ba3HoIrRuO9,ABCD3E9,448.9989937567705,7.50160685500972,14.966633125225684,-7.461055328,0.0,3.77848706,0,1,1,1,4.0005892,1
4,Ba3LiOs2O9,AB2C3D9,428.63907998177865,7.30924347300705,14.287969332725956,-7.343170687333333,0.0,3.51387473,0,1,1,1,6.0111886,0
0,Ba3SbP,ABC3,272.53363290988204,3.4407897248292945,54.50672658197641,-3.363138898,0.0,1.53888338,0,1,0,0,0.0032569,1
0,Ba3SbP,ABC3,228.4551282878871,4.104661299636232,45.69102565757742,-3.942252384000001,0.2991999999999999,2.33245117,1,0,0,0,0.0002717,1
3,Ba6Ca2Ta(RuO6)3,AB2C3D6E18,465.8077780165895,5.97564871752365,15.526925933886314,-7.533357318666668,0.0,3.31293366,1,1,1,3,3.0,1
1,BaLa3TiCr3O12,ABC3D3E12,493.3890024402193,6.393867530834473,12.334725061005482,-8.870100898999999,1.8743,6.09704505,0,0,1,3,7.4e-06,1
5,BaLa3TiCr3O12,ABC3D3E12,496.2143714667793,6.357461823300956,12.405359286669484,-8.89021588625,1.8927,5.88346625,1,0,1,3,5.9659604,1
5,Ba2BiSbO6,ABC2D6,162.47784885143284,7.168280676948144,16.247784885143282,-6.607482318999999,1.9752,4.06083505,0,0,0,0,0.0001857,0
0,Ba2BiSbO6,ABC2D6,163.082321891686,7.141711074774705,16.3082321891686,-6.598717748,1.6438999999999997,4.37264051,0,0,0,0,3.9e-06,0
6,Ba2BiSbO6,ABC2D6,204.29298797386303,5.701061186215728,20.429298797386306,-4.70550104,0.0,3.60715524,0,1,0,0,0.0024185,1
0,Ba2BiSbO6,ABC2D6,651.2715433673939,7.153310082192899,16.281788584184845,-6.59926074675,1.7228000000000003,4.11124209,0,0,0,0,5.1e-05,1
6,Ba2BiSbO6,ABC2D6,252.1117522251766,4.619724443918717,25.21117522251766,-5.654959083,0.0,2.02329725,0,1,0,0,0.0004676,1
6,Ba2BiSbO6,ABC2D6,204.2929879369814,5.701061187244958,20.42929879369814,-5.145418606,0.3196999999999996,3.87430718,0,0,0,0,0.0002936,1
6,Ba2BiSbO6,ABC2D6,204.29298797386303,5.701061186215728,20.429298797386306,-4.453890156,0.0,3.25941682,0,1,0,0,0.0117465,1
3,Ba2BiSbO6,ABC2D6,162.4746175606501,7.168423239519623,16.24746175606501,-6.607341224000001,1.7745999999999995,4.17157886,0,0,0,0,1.08e-05,0
0,Ba2LiOsO6,ABC2D6,138.31618125654984,6.816914759977553,13.831618125654984,-7.108212944,0.0,3.31328515,0,1,1,1,0.7105988,0
0,Ba2TaCoO6,ABC2D6,130.4683061576707,7.770556662253529,13.04683061576707,-8.064358838,1.5327999999999995,2.68944344,1,0,0,0,1.21e-05,1
2,Ba2CaWO6,ABC2D6,154.90304384778858,6.373690480453075,15.490304384778858,-7.879153675,3.2693,2.09292578,0,0,0,0,1.35e-05,0
0,Ba2CaWO6,ABC2D6,154.81755213407968,6.377210092501664,15.481755213407968,-7.878640952,3.183,2.28131937,0,0,0,0,0.0,0
0,Ba2CaWO6,ABC2D6,620.6565845699799,6.362965159871178,15.5164146142495,-7.8766884485,3.191,2.12384433,1,0,0,0,0.0,1
5,Ba2CaWO6,ABC2D6,154.80353803049135,6.377787410591275,15.480353803049136,-7.881681173,3.2912,2.01791139,0,0,0,0,1.5e-05,0
0,Ba2YbMoO6,ABC2D6,151.5486716825477,7.008515849019473,15.154867168254771,-7.568326327999999,2.2435,2.13157746,0,0,0,0,3e-07,1
1,Ba32Sb7Pb25O96,A7B25C32D96,2605.60965359249,7.623772234209699,16.285060334953062,-6.33807313625,0.0,4.25014267,0,1,0,0,3.7e-06,1
0,BaEuDyVO6,ABCDE6,152.1875773197162,6.53281132574835,15.21875773197162,-8.677174146,0.0907,3.41436751,0,0,1,1,6.9375644,1
3,BaSr3Yb2(ReO6)2,AB2C2D3E12,289.02466990736065,7.530239716791896,14.451233495368031,-7.675064778499999,0.0,4.12421412,0,1,1,1,0.2125601,1
0,BaSrCeCrO6,ABCDE6,146.13472084269176,5.829885575250013,14.613472084269176,-7.90323059,0.0,3.27081629,0,1,1,1,2.0,1
5,Ca2FeIrO6,ABC2D6,469.8046864509513,5.997595206090585,11.745117161273782,-7.34262538925,0.0,3.81665429,0,1,1,3,7.9770048,1
5,Ba2BiSbO6,ABC2D6,162.47784885143284,7.168280676948144,16.247784885143282,-6.607482318999999,1.9752,4.06083505,0,0,0,0,0.0001857,0
0,Ba2BiSbO6,ABC2D6,163.082321891686,7.141711074774705,16.3082321891686,-6.598717748,1.6438999999999997,4.37264051,0,0,0,0,3.9e-06,0
6,Ba2BiSbO6,ABC2D6,204.29298797386303,5.701061186215728,20.429298797386306,-4.70550104,0.0,3.60715524,0,1,0,0,0.0024185,1
0,Ba2BiSbO6,ABC2D6,651.2715433673939,7.153310082192899,16.281788584184845,-6.59926074675,1.7228000000000003,4.11124209,0,0,0,0,5.1e-05,1
6,Ba2BiSbO6,ABC2D6,252.1117522251766,4.619724443918717,25.21117522251766,-5.654959083,0.0,2.02329725,0,1,0,0,0.0004676,1
6,Ba2BiSbO6,ABC2D6,204.2929879369814,5.701061187244958,20.42929879369814,-5.145418606,0.3196999999999996,3.87430718,0,0,0,0,0.0002936,1
6,Ba2BiSbO6,ABC2D6,204.29298797386303,5.701061186215728,20.429298797386306,-4.453890156,0.0,3.25941682,0,1,0,0,0.0117465,1
3,Ba2BiSbO6,ABC2D6,162.4746175606501,7.168423239519623,16.24746175606501,-6.607341224000001,1.7745999999999995,4.17157886,0,0,0,0,1.08e-05,0
0,Ba2CePrO6,ABC2D6,185.5125381794281,5.833191811907629,18.55125381794281,-7.652713186,0.0,2.10973422,0,1,1,1,0.9999999,1
0,Ba2CePrO6,ABC2D6,732.8744560323609,5.90622423694712,18.32186140080902,-7.69752613725,0.0,1.99092174,0,1,1,1,3.999965,1
0,Ba2MnWO6,ABC2D6,290.591241413471,6.964970701094756,14.529562070673547,-8.311566699,2.2267,3.25729028,0,0,1,2,0.0,0
0,Ba2NbCoO6,ABC2D6,130.70890423744208,6.637765196304243,13.070890423744208,-7.786693898,1.5345999999999995,2.73712533,1,0,0,0,0.0002618,1
2,BaEuZr2O6,ABC2D6,601.7782022341464,6.266407175878155,15.04445505585366,-9.48905557325,0.2385000000000001,5.00864103,0,0,1,1,27.9999997,1
2,BaEuZr2O6,ABC2D6,150.66390604092888,6.257283751396131,15.066390604092888,-9.491652006,0.2241999999999997,4.9213709,1,0,1,1,6.9999999,1
2,BaEuZr2O6,ABC2D6,603.815508786203,6.245263975328479,15.095387719655076,-9.49336895525,0.3002000000000002,4.82288829,0,0,1,1,27.9995225,1
1,BaLa3TiCr3O12,ABC3D3E12,493.3890024402193,6.393867530834473,12.334725061005482,-8.870100898999999,1.8743,6.09704505,0,0,1,3,7.4e-06,1
5,BaLa3TiCr3O12,ABC3D3E12,496.2143714667793,6.357461823300956,12.405359286669484,-8.89021588625,1.8927,5.88346625,1,0,1,3,5.9659604,1
2,BaLaCuRuO6,ABCDE6,130.81603287655668,6.814546044061803,13.081603287655668,-7.256987225,0.0,5.39898393,0,1,1,1,0.1029332,1
0,BaLaMnRuO6,ABCDE6,133.98504508184809,6.546686111438254,13.398504508184809,-7.997878093,0.0,5.66766584,0,1,1,3,2.0,1
5,BaLaMnRuO6,ABCDE6,135.35949053750934,6.480210809708203,13.535949053750937,-8.065213157,0.3209999999999997,5.13726501,0,0,1,3,1.9999967,1
0,Ba2LiOsO6,ABC2D6,138.31618125654984,6.816914759977553,13.831618125654984,-7.108212944,0.0,3.31328515,0,1,1,1,0.7105988,0
