Shape,nsites,elements,nelements,composition,composition_reduced,formula_pretty,formula_anonymous,chemsys,volume,density,density_atomic,symmetry,material_id,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,grain_boundaries,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,types_of_magnetic_species,k_vrh,g_vrh,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed,possible_species,theoretical
Shape,nsites,nelements,composition_reduced
Cubic,5,3,Cu1 Ni3 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Na1 Mo1 O3
Cubic,5,3,Ca1 V1 O3
Cubic,40,4,Ca7 Mg1 Mn8 O24
Cubic,20,4,Sr2 Fe1 Os1 O6
Cubic,10,4,Mn1 Re1 Pb2 O6
Cubic,5,3,Sr3 Bi1 Sb1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,La3 Pb1 C1
Orthorhombic,20,3,La1 Lu1 S3
Cubic,5,3,Na1 Mo1 O3
Cubic,20,4,Sr2 Fe1 Os1 O6
Cubic,5,3,Cu1 Ni3 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Cr3 Pt1 N1
Cubic,10,4,La2 Mn1 Ni1 O6
Cubic,5,3,Cd1 H1 Cl3
Cubic,10,3,Co1 I3 N6
Cubic,10,3,Na3 Au1 F6
Cubic,10,4,Cs2 Ag1 Bi1 Cl6
Cubic,5,3,K1 Cu1 Cl3
Cubic,10,4,Ba2 Li1 Os1 O6
Cubic,10,4,Rb2 Li1 Y1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,La2 Mn1 Ni1 O6
Cubic,5,3,Cd1 H1 Cl3
Cubic,10,3,Co1 I3 N6
Cubic,10,3,Na3 Au1 F6
Orthorhombic,20,3,Sr1 Os1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Orthorhombic,20,3,La1 Lu1 S3
Cubic,5,3,Na1 Mo1 O3
Cubic,20,4,Sr2 Fe1 Os1 O6
Cubic,10,4,Rb2 Cu1 Sb1 F6
Cubic,5,3,Cu1 Ni3 N1
Cubic,10,3,Rb1 In1 F3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Orthorhombic,20,3,La1 Lu1 S3
Cubic,5,3,Na1 Mo1 O3
Cubic,20,4,Sr2 Fe1 Os1 O6
Cubic,10,4,Rb2 Cu1 Sb1 F6
Cubic,5,3,Cu1 Ni3 N1
Cubic,10,3,Rb1 In1 F3
Cubic,10,3,Co1 I3 N6
Cubic,5,3,Ba3 Sb1 P1
Cubic,10,4,Rb2 Er1 Ag1 Cl6
Cubic,10,4,Rb2 Na1 Al1 F6
Orthorhombic,20,3,La1 Lu1 S3
Cubic,5,3,Cu1 Ni3 N1
Cubic,10,4,K2 Cu1 Au1 Cl6
Cubic,10,3,Rb1 In1 F3
Cubic,10,4,K2 Na1 Pd1 F6
Cubic,10,3,Co1 I3 N6
Cubic,5,3,Sr3 Bi1 Sb1
